year,victima,gravedad,cantidad_homicidios,last_year,Tasa Actual,Tasa Anterior,variacion%
2016,MOTO,fatal,37,0,1.1852489679524696,0.0,inf
2017,MOTO,fatal,54,37,1.7298228180927935,1.1852489679524696,45.94594594594595
2018,MOTO,fatal,57,54,1.8259240857646153,1.7298228180927935,5.555555555555553
2019,MOTO,fatal,50,57,1.6016877945303643,1.8259240857646153,-12.280701754385968
2020,MOTO,fatal,30,50,0.9610126767182187,1.6016877945303643,-39.99999999999999
2021,MOTO,fatal,46,30,1.4735527709679352,0.9610126767182187,53.333333333333336
